Time (ms)	Temperature Value (C)
44691	27,400000
44803	27,400000
44915	27,500000
45027	27,500000
45139	27,400000
45251	27,300000
45363	27,400000
45475	27,500000
45587	27,400000
45699	27,400000
45811	27,400000
45923	27,500000
46035	27,400000
46147	27,500000
46259	27,500000
46371	27,500000
46483	27,500000
46595	27,500000
46707	27,500000
46819	27,500000
46931	27,600000
47043	27,500000
47155	27,500000
47267	27,500000
47379	27,500000
47491	27,600000
47603	27,600000
47715	27,600000
47827	27,700000
47939	27,700000
48051	27,700000
48163	27,800000
48275	27,700000
48387	27,700000
48499	27,700000
48611	27,600000
48723	27,800000
48835	27,800000
48947	27,800000
49059	27,700000
49171	27,700000
49283	27,800000
49395	27,800000
49507	27,800000
49619	27,800000
49731	27,900000
49843	27,900000
49955	27,700000
50067	27,800000
50179	27,800000
50291	27,800000
50403	27,800000
50515	27,800000
50627	27,800000
50739	27,900000
50851	27,900000
50963	27,900000
51075	27,800000
51187	27,900000
51299	27,900000
51411	27,900000
51523	27,900000
51635	39,400000
51747	46,100000
51859	48,000000
51971	48,500000
52083	48,600000
52195	48,600000
52307	48,700000
52419	48,600000
52531	48,700000
52643	48,900000
52755	48,800000
52867	48,900000
52979	48,900000
53091	48,900000
53203	48,800000
53315	48,900000
53427	48,900000
53539	48,900000
53651	48,900000
53763	49,000000
53875	48,900000
53987	48,900000
54099	48,900000
54211	48,900000
54323	48,900000
54435	48,900000
54547	48,900000
54659	48,900000
54771	48,900000
54883	48,900000
54995	48,800000
55107	48,800000
55219	48,800000
55331	48,800000
55443	48,700000
55555	48,800000
55667	48,800000
55779	48,800000
55891	48,800000
56003	48,900000
56115	48,800000
56227	48,900000
56339	48,900000
56451	48,900000
56563	48,900000
56675	48,800000
56787	48,800000
56899	48,800000
57011	48,800000
57123	48,800000
57235	48,800000
57347	48,800000
57459	48,800000
57571	48,900000
57683	48,900000
57795	48,900000
57907	48,900000
58019	48,900000
58131	48,800000
58243	48,900000
58355	48,900000
58467	48,900000
58579	48,900000
58691	48,900000
58803	48,900000
58915	48,900000
59027	48,900000
59139	48,900000
59251	48,900000
59363	48,800000
59475	48,800000
59587	48,900000
59699	48,900000
59811	48,900000
59923	48,800000
60035	48,800000
60147	48,800000
60259	48,800000
60371	48,700000
60483	48,800000
60595	48,700000
60707	48,700000
60819	48,700000
60931	48,600000
61043	48,600000
61155	48,600000
61267	48,600000
61379	48,600000
61491	48,600000
61603	48,700000
61715	48,700000
61827	48,700000
61939	48,700000
62051	48,700000
62163	48,800000
62275	48,800000
62387	48,900000
62499	48,900000
62611	48,900000
62723	48,900000
62835	48,900000
62947	49,000000
63063	49,000000
63175	48,900000
63287	49,000000
63399	49,000000
63511	49,000000
63623	49,000000
63735	49,000000
63847	49,000000
63959	49,000000
64071	49,000000
64183	48,900000
