Elapsed Time[s]	Write 0 [A]	
4.9786	0.856	
4.9788	0.858	
4.9790	0.862	
4.9792	0.857	
4.9794	0.858	
4.9796	0.856	
4.9798	0.857	
4.9800	0.855	
4.9802	0.857	
4.9804	0.857	
4.9806	0.857	
4.9808	0.857	
4.9810	0.858	
4.9812	0.857	
4.9814	0.858	
4.9816	0.857	
4.9818	0.857	
4.9820	0.861	
4.9822	0.856	
4.9824	0.856	
4.9826	0.856	
4.9828	0.857	
4.9830	0.856	
4.9832	0.857	
4.9834	0.856	
4.9836	0.856	
4.9838	0.856	
4.9840	0.854	
4.9842	0.857	
4.9844	0.860	
4.9846	0.857	
4.9848	0.857	
4.9850	0.852	
4.9852	0.857	
4.9854	0.857	
4.9856	0.857	
4.9858	0.855	
4.9860	0.855	
4.9862	0.857	
4.9864	0.857	
4.9866	0.860	
4.9868	0.856	
4.9870	0.858	
4.9872	0.857	
4.9874	0.857	
4.9876	0.858	
4.9878	0.856	
4.9880	0.857	
4.9882	0.857	
4.9884	0.859	
4.9886	0.855	
4.9888	0.857	
4.9890	0.854	
4.9892	0.859	
4.9894	0.857	
4.9896	0.856	
4.9898	0.857	
4.9900	0.856	
4.9902	0.858	
4.9904	0.856	
4.9906	0.857	
4.9908	0.856	
4.9910	0.858	
4.9912	0.858	
4.9914	0.854	
4.9916	0.858	
4.9918	0.857	
4.9920	0.856	
4.9922	0.857	
4.9924	0.858	
4.9926	0.858	
4.9928	0.858	
4.9930	0.857	
4.9932	0.856	
4.9934	0.855	
4.9936	0.858	
4.9938	0.855	
4.9940	0.858	
4.9942	0.858	
4.9944	0.857	
4.9946	0.858	
4.9948	0.857	
4.9950	0.857	
4.9952	0.856	
4.9954	0.857	
4.9956	0.854	
4.9958	0.857	
4.9960	0.853	
4.9962	0.856	
4.9964	0.857	
4.9966	0.858	
4.9968	0.860	
4.9970	0.853	
4.9972	0.857	
4.9974	0.857	
4.9976	0.859	
4.9978	0.854	
4.9980	0.856	
4.9982	0.853	
4.9984	0.859	
4.9986	0.857	
4.9988	0.856	
4.9990	0.857	
4.9992	0.857	
4.9994	0.857	
4.9996	0.857	
4.9998	0.858	
5.0000	0.857	
5.0002	0.857	
5.0004	0.857	
5.0006	0.857	
5.0008	0.858	
5.0010	0.857	
5.0012	0.857	
5.0014	0.857	
5.0016	0.857	
5.0018	0.856	
5.0020	0.857	
5.0022	0.857	
5.0024	0.857	
5.0026	0.856	
5.0028	0.857	
5.0030	0.855	
5.0032	0.856	
5.0034	0.853	
5.0036	0.857	
5.0038	0.857	
5.0040	0.856	
5.0042	0.858	
5.0044	0.856	
5.0046	0.856	
5.0048	0.858	
5.0050	0.858	
5.0052	0.857	
5.0054	0.856	
5.0056	0.852	
5.0058	0.858	
5.0060	0.858	
5.0062	0.856	
5.0064	0.858	
5.0066	0.854	
5.0068	0.857	
5.0070	0.861	
5.0072	0.857	
5.0074	0.857	
5.0076	0.853	
5.0078	0.857	
5.0080	0.858	
5.0082	0.857	
5.0084	0.857	
5.0086	0.857	
5.0088	0.855	
5.0090	0.857	
5.0092	0.857	
5.0094	0.858	
5.0096	0.857	
5.0098	0.856	
5.0100	0.858	
5.0102	0.855	
5.0104	0.862	
5.0106	0.857	
5.0108	0.861	
5.0110	0.857	
5.0112	0.858	
5.0114	0.856	
5.0116	0.858	
5.0118	0.859	
5.0120	0.857	
5.0122	0.856	
5.0124	0.857	
5.0126	0.857	
5.0128	0.857	
5.0130	0.857	
5.0132	0.859	
5.0134	0.858	
5.0136	0.857	
5.0138	0.856	
5.0140	0.858	
5.0142	0.856	
5.0144	0.856	
5.0146	0.859	
5.0148	0.857	
5.0150	0.857	
5.0152	0.858	
5.0154	0.857	
5.0156	0.856	
5.0158	0.854	
5.0160	0.856	
5.0162	0.856	
5.0164	0.857	
5.0166	0.856	
5.0168	0.857	
5.0170	0.856	
5.0172	0.858	
5.0174	0.856	
5.0176	0.857	
5.0178	0.855	
5.0180	0.855	
5.0182	0.857	
5.0184	0.857	
5.0186	0.859	
5.0188	0.856	
5.0190	0.858	
5.0192	0.857	
5.0194	0.858	
5.0196	0.857	
5.0198	0.857	
5.0200	0.857	
5.0202	0.857	
5.0204	0.857	
5.0206	0.856	
5.0208	0.857	
5.0210	0.857	
5.0212	0.856	
5.0214	0.856	
5.0216	0.856	
5.0218	0.857	
5.0220	0.856	
5.0222	0.856	
5.0224	0.856	
5.0226	0.860	
5.0228	0.856	
5.0230	0.856	
5.0232	0.858	
5.0234	0.856	
5.0236	0.856	
5.0238	0.857	
5.0240	0.859	
5.0242	0.857	
5.0244	0.857	
5.0246	0.856	
5.0248	0.857	
5.0250	0.857	
5.0252	0.857	
5.0254	0.856	
5.0256	0.857	
5.0258	0.855	
5.0260	0.857	
5.0262	0.857	
5.0264	0.856	
5.0266	0.855	
5.0268	0.858	
5.0270	0.856	
5.0272	0.858	
5.0274	0.857	
5.0276	0.857	
5.0278	0.858	
5.0280	0.857	
5.0282	0.857	
5.0284	0.860	
5.0286	0.856	
5.0288	0.853	
5.0290	0.856	
5.0292	0.857	
5.0294	0.854	
5.0296	0.853	
5.0298	0.856	
5.0300	0.856	
5.0302	0.857	
5.0304	0.856	
5.0306	0.859	
5.0308	0.856	
5.0310	0.856	
5.0312	0.857	
5.0314	0.857	
5.0316	0.857	
5.0318	0.857	
5.0320	0.856	
5.0322	0.857	
5.0324	0.856	
5.0326	0.856	
5.0328	0.857	
5.0330	0.857	
5.0332	0.856	
5.0334	0.858	
5.0336	0.857	
5.0338	0.857	
5.0340	0.857	
5.0342	0.857	
5.0344	0.856	
5.0346	0.858	
5.0348	0.857	
5.0350	0.858	
5.0352	0.857	
5.0354	0.858	
5.0356	0.856	
5.0358	0.856	
5.0360	0.857	
5.0362	0.856	
5.0364	0.857	
5.0366	0.858	
5.0368	0.854	
5.0370	0.862	
5.0372	0.856	
5.0374	0.857	
5.0376	0.857	
5.0378	0.857	
5.0380	0.858	
5.0382	0.856	
5.0384	0.855	
5.0386	0.857	
5.0388	0.857	
5.0390	0.857	
5.0392	0.857	
5.0394	0.858	
5.0396	0.857	
5.0398	0.857	
5.0400	0.857	
5.0402	0.857	
5.0404	0.857	
5.0406	0.856	
5.0408	0.856	
5.0410	0.857	
5.0412	0.856	
5.0414	0.856	
5.0416	0.856	
5.0418	0.856	
5.0420	0.855	
5.0422	0.857	
5.0424	0.856	
5.0426	0.856	
5.0428	0.858	
5.0430	0.857	
5.0432	0.856	
5.0434	0.859	
5.0436	0.859	
5.0438	0.856	
5.0440	0.856	
5.0442	0.853	
5.0444	0.856	
5.0446	0.856	
5.0448	0.856	
5.0450	0.861	
5.0452	0.857	
5.0454	0.857	
5.0456	0.857	
5.0458	0.857	
5.0460	0.856	
5.0462	0.856	
5.0464	0.856	
5.0466	0.856	
5.0468	0.856	
5.0470	0.859	
5.0472	0.856	
5.0474	0.858	
5.0476	0.858	
5.0478	0.857	
5.0480	0.858	
5.0482	0.857	
5.0484	0.857	
5.0486	0.857	
5.0488	0.860	
5.0490	0.856	
5.0492	0.856	
5.0494	0.857	
5.0496	0.856	
5.0498	0.857	
5.0500	0.856	
5.0502	0.857	
5.0504	0.856	
5.0506	0.860	
5.0508	0.857	
5.0510	0.857	
5.0512	0.857	
5.0514	0.857	
5.0516	0.857	
5.0518	0.857	
5.0520	0.858	
5.0522	0.857	
5.0524	0.857	
5.0526	0.857	
5.0528	0.857	
5.0530	0.857	
5.0532	0.858	
5.0534	0.858	
5.0536	0.857	
5.0538	0.857	
5.0540	0.855	
5.0542	0.857	
5.0544	0.858	
5.0546	0.857	
5.0548	0.856	
5.0550	0.857	
5.0552	0.856	
5.0554	0.856	
