Elapsed Time[s]	Write 0 [A]	
2.5210	0.843	
2.5212	0.843	
2.5214	0.843	
2.5216	0.843	
2.5218	0.843	
2.5220	0.843	
2.5222	0.843	
2.5224	0.844	
2.5226	0.843	
2.5228	0.843	
2.5230	0.844	
2.5232	0.843	
2.5234	0.844	
2.5236	0.842	
2.5238	0.845	
2.5240	0.843	
2.5242	0.842	
2.5244	0.841	
2.5246	0.843	
2.5248	0.844	
2.5250	0.842	
2.5252	0.841	
2.5254	0.843	
2.5256	0.842	
2.5258	0.843	
2.5260	0.842	
2.5262	0.843	
2.5264	0.843	
2.5266	0.842	
2.5268	0.843	
2.5270	0.843	
2.5272	0.843	
2.5274	0.843	
2.5276	0.843	
2.5278	0.843	
2.5280	0.842	
2.5282	0.843	
2.5284	0.843	
2.5286	0.843	
2.5288	0.842	
2.5290	0.843	
2.5292	0.843	
2.5294	0.843	
2.5296	0.843	
2.5298	0.843	
2.5300	0.843	
2.5302	0.842	
2.5304	0.842	
2.5306	0.843	
2.5308	0.842	
2.5310	0.842	
2.5312	0.842	
2.5314	0.843	
2.5316	0.843	
2.5318	0.842	
2.5320	0.842	
2.5322	0.843	
2.5324	0.842	
2.5326	0.843	
2.5328	0.842	
2.5330	0.842	
2.5332	0.843	
2.5334	0.841	
2.5336	0.843	
2.5338	0.843	
2.5340	0.843	
2.5342	0.843	
2.5344	0.844	
2.5346	0.843	
2.5348	0.843	
2.5350	0.843	
2.5352	0.844	
2.5354	0.844	
2.5356	0.843	
2.5358	0.843	
2.5360	0.843	
2.5362	0.844	
2.5364	0.844	
2.5366	0.843	
2.5368	0.844	
2.5370	0.842	
2.5372	0.844	
2.5374	0.843	
2.5376	0.843	
2.5378	0.843	
2.5380	0.844	
2.5382	0.843	
2.5384	0.843	
2.5386	0.843	
2.5388	0.843	
2.5390	0.843	
2.5392	0.843	
2.5394	0.844	
2.5396	0.843	
2.5398	0.844	
2.5400	0.844	
2.5402	0.844	
2.5404	0.844	
2.5406	0.844	
2.5408	0.843	
2.5410	0.844	
2.5412	0.844	
2.5414	0.844	
2.5416	0.844	
2.5418	0.844	
2.5420	0.844	
2.5422	0.843	
2.5424	0.844	
2.5426	0.844	
2.5428	0.843	
2.5430	0.844	
2.5432	0.843	
2.5434	0.843	
2.5436	0.843	
2.5438	0.841	
2.5440	0.843	
2.5442	0.844	
2.5444	0.844	
2.5446	0.843	
2.5448	0.844	
2.5450	0.844	
2.5452	0.844	
2.5454	0.844	
2.5456	0.844	
2.5458	0.842	
2.5460	0.844	
2.5462	0.843	
2.5464	0.845	
2.5466	0.843	
2.5468	0.842	
2.5470	0.843	
2.5472	0.843	
2.5474	0.843	
2.5476	0.843	
2.5478	0.843	
2.5480	0.843	
2.5482	0.842	
2.5484	0.843	
2.5486	0.843	
2.5488	0.843	
2.5490	0.843	
2.5492	0.842	
2.5494	0.843	
2.5496	0.843	
2.5498	0.843	
2.5500	0.842	
2.5502	0.842	
2.5504	0.842	
2.5506	0.842	
2.5508	0.842	
2.5510	0.842	
2.5512	0.841	
2.5514	0.843	
2.5516	0.842	
2.5518	0.843	
2.5520	0.844	
2.5522	0.842	
2.5524	0.842	
2.5526	0.842	
2.5528	0.843	
2.5530	0.843	
2.5532	0.841	
2.5534	0.842	
2.5536	0.842	
2.5538	0.843	
2.5540	0.843	
2.5542	0.841	
2.5544	0.843	
2.5546	0.843	
2.5548	0.843	
2.5550	0.843	
2.5552	0.843	
2.5554	0.842	
2.5556	0.842	
2.5558	0.844	
2.5560	0.844	
2.5562	0.842	
2.5564	0.844	
2.5566	0.843	
2.5568	0.843	
2.5570	0.843	
2.5572	0.843	
2.5574	0.843	
2.5576	0.843	
2.5578	0.841	
2.5580	0.843	
2.5582	0.842	
2.5584	0.843	
2.5586	0.843	
2.5588	0.842	
2.5590	0.843	
2.5592	0.843	
2.5594	0.843	
2.5596	0.843	
2.5598	0.843	
2.5600	0.843	
2.5602	0.843	
2.5604	0.843	
2.5606	0.843	
2.5608	0.843	
2.5610	0.843	
2.5612	0.844	
2.5614	0.843	
2.5616	0.843	
2.5618	0.843	
2.5620	0.843	
2.5622	0.843	
2.5624	0.843	
2.5626	0.843	
2.5628	0.843	
2.5630	0.843	
2.5632	0.844	
2.5634	0.843	
2.5636	0.843	
2.5638	0.843	
2.5640	0.844	
2.5642	0.843	
2.5644	0.842	
2.5646	0.844	
2.5648	0.843	
2.5650	0.843	
2.5652	0.843	
2.5654	0.844	
2.5656	0.843	
2.5658	0.843	
2.5660	0.843	
2.5662	0.843	
2.5664	0.844	
2.5666	0.844	
2.5668	0.843	
2.5670	0.843	
2.5672	0.843	
2.5674	0.844	
2.5676	0.843	
2.5678	0.843	
2.5680	0.843	
2.5682	0.843	
2.5684	0.842	
2.5686	0.843	
2.5688	0.843	
2.5690	0.843	
2.5692	0.843	
2.5694	0.840	
2.5696	0.843	
2.5698	0.843	
2.5700	0.842	
2.5702	0.843	
2.5704	0.842	
2.5706	0.842	
2.5708	0.843	
2.5710	0.842	
2.5712	0.842	
2.5714	0.843	
2.5716	0.842	
2.5718	0.841	
2.5720	0.842	
2.5722	0.841	
2.5724	0.842	
2.5726	0.842	
2.5728	0.843	
2.5730	0.842	
2.5732	0.842	
2.5734	0.843	
2.5736	0.842	
2.5738	0.844	
2.5740	0.842	
2.5742	0.842	
2.5744	0.842	
2.5746	0.843	
2.5748	0.842	
2.5750	0.843	
2.5752	0.842	
2.5754	0.842	
2.5756	0.843	
2.5758	0.842	
2.5760	0.842	
2.5762	0.841	
2.5764	0.842	
2.5766	0.842	
2.5768	0.842	
2.5770	0.842	
2.5772	0.842	
2.5774	0.842	
2.5776	0.843	
2.5778	0.842	
2.5780	0.842	
2.5782	0.843	
2.5784	0.843	
2.5786	0.843	
2.5788	0.843	
2.5790	0.842	
2.5792	0.843	
2.5794	0.842	
2.5796	0.844	
2.5798	0.843	
2.5800	0.843	
2.5802	0.843	
2.5804	0.843	
2.5806	0.843	
2.5808	0.844	
2.5810	0.843	
2.5812	0.843	
2.5814	0.843	
2.5816	0.843	
2.5818	0.842	
2.5820	0.843	
2.5822	0.843	
2.5824	0.843	
2.5826	0.843	
2.5828	0.843	
2.5830	0.843	
2.5832	0.843	
2.5834	0.843	
2.5836	0.842	
